age,sex,studytime,schoolsup,famsup,paid,Fedu,Medu,failures,absences,higher,internet,avg_grade
17,M,1,no,yes,no,2,1,0,4,yes,yes,11.0
16,F,4,no,yes,no,1,1,0,0,yes,yes,12.0
16,F,3,yes,yes,no,1,1,0,2,yes,no,10.0
15,F,2,no,yes,no,1,1,0,1,yes,yes,11.0
16,F,1,no,no,no,1,1,0,0,yes,yes,13.0
15,F,2,no,yes,no,1,1,0,0,yes,no,14.0
15,F,3,yes,yes,no,2,2,0,2,yes,no,12.0
16,M,1,no,no,no,1,1,0,6,yes,no,11.0
18,F,2,no,yes,no,2,1,1,9,yes,yes,8.0
15,M,1,no,yes,no,1,3,0,0,yes,no,10.0
16,F,2,no,yes,no,2,2,0,1,yes,yes,14.0
15,M,1,no,no,no,2,2,0,1,yes,no,13.0
16,M,2,no,yes,no,4,4,0,0,yes,no,13.0
15,F,2,no,yes,no,3,3,0,4,yes,yes,12.0
16,F,2,no,yes,no,2,2,1,2,yes,no,12.0
16,F,1,no,yes,no,2,2,0,0,yes,no,15.0
16,M,1,no,yes,no,1,2,0,4,yes,yes,9.0
15,M,1,no,yes,no,3,1,0,2,yes,yes,11.0
15,F,3,no,yes,no,2,2,0,0,yes,no,13.0
16,F,1,no,yes,no,1,2,0,2,yes,yes,9.0
15,M,1,no,yes,no,3,3,0,11,yes,yes,11.0
16,F,2,yes,yes,no,1,1,3,0,yes,no,7.0
17,F,1,no,yes,no,2,2,0,4,no,no,9.0
19,F,1,no,no,no,3,2,1,0,no,yes,9.0
17,F,1,no,yes,no,1,2,0,2,no,no,10.0
15,F,1,no,yes,no,1,1,0,0,no,no,9.0
16,F,2,no,yes,no,2,2,0,1,no,yes,10.0
16,F,1,no,yes,no,2,2,0,6,no,no,7.0
17,F,2,no,yes,no,2,2,0,0,yes,yes,11.0
16,F,1,no,yes,yes,2,2,1,1,yes,yes,10.0
18,F,3,no,yes,no,2,3,2,6,no,no,9.0
19,F,3,no,no,no,1,1,1,6,no,no,8.0
18,M,1,no,no,no,1,1,1,0,no,yes,9.0
18,F,1,no,no,no,1,1,1,4,no,yes,10.0
19,F,2,no,yes,no,1,1,1,12,yes,yes,8.0
16,F,2,no,no,no,2,2,0,2,yes,no,9.0
17,F,1,no,no,no,1,0,0,5,yes,no,9.0
16,F,2,no,no,no,2,1,0,0,no,yes,9.0
16,F,1,no,no,no,3,3,0,0,no,yes,13.0
16,F,1,no,yes,no,1,1,0,2,yes,yes,14.0
17,M,4,no,yes,yes,3,3,1,0,yes,no,10.0
16,F,2,no,yes,no,1,2,0,0,yes,yes,14.0
16,F,1,no,yes,yes,2,2,0,0,yes,no,16.0
17,M,1,no,yes,no,2,1,1,12,no,yes,7.0
16,M,1,no,no,no,3,4,0,8,yes,yes,13.0
17,M,4,no,yes,no,2,2,1,2,yes,no,9.0
16,F,4,yes,yes,no,1,1,0,0,yes,yes,14.0
19,F,3,no,no,no,2,2,0,0,yes,yes,13.0
17,F,1,no,yes,no,1,1,0,0,yes,yes,11.0
20,F,2,no,no,no,3,3,1,8,yes,yes,10.0
17,F,3,no,yes,no,1,1,0,0,yes,no,11.0
17,M,1,no,yes,no,2,2,1,0,yes,yes,9.0
